iter	Passed	Remaining
0	133	133711
1	135	67411
2	136	45300
3	137	34288
4	139	27719
5	140	23296
6	141	20137
7	143	17789
8	144	15944
9	146	14484
10	147	13272
11	148	12265
12	150	11419
13	151	10683
14	153	10048
15	154	9498
16	155	9011
17	157	8574
18	158	8181
19	159	7832
20	161	7517
21	162	7229
22	163	6964
23	165	6720
24	166	6494
25	167	6285
26	169	6097
27	170	5921
28	171	5753
29	173	5598
30	174	5452
31	175	5321
32	177	5193
33	178	5073
34	179	4959
35	181	4851
36	182	4747
37	183	4653
38	185	4564
39	186	4478
40	187	4393
41	189	4311
42	190	4238
43	191	4165
44	193	4096
45	194	4034
46	195	3970
47	197	3912
48	198	3852
49	199	3795
50	201	3744
51	202	3690
52	203	3641
53	205	3593
54	206	3551
55	208	3506
56	209	3461
57	210	3418
58	211	3377
59	213	3337
60	214	3297
61	215	3259
62	216	3223
63	218	3189
64	219	3158
65	220	3125
66	222	3093
67	222	3053
68	223	3022
69	225	2992
70	226	2964
71	227	2937
72	229	2908
73	230	2881
74	231	2854
75	232	2827
76	233	2804
77	235	2778
78	236	2755
79	237	2730
80	238	2706
81	239	2683
82	240	2660
83	241	2638
84	242	2613
85	244	2593
86	244	2569
87	246	2549
88	247	2529
89	248	2513
90	249	2494
91	250	2476
92	252	2458
93	253	2441
94	254	2422
95	255	2404
96	256	2387
97	257	2370
98	258	2353
99	259	2336
100	260	2320
101	261	2300
102	262	2285
103	263	2270
104	264	2255
105	265	2241
106	266	2227
107	267	2212
108	268	2198
109	270	2185
110	271	2171
111	272	2158
112	273	2144
113	274	2132
114	275	2119
115	276	2105
116	277	2094
117	278	2082
118	279	2068
119	280	2056
120	281	2044
121	282	2033
122	283	2018
123	284	2007
124	285	1996
125	286	1986
126	287	1975
127	288	1963
128	289	1952
129	290	1942
130	291	1933
131	292	1923
132	293	1913
133	294	1904
134	295	1894
135	296	1885
136	297	1876
137	298	1865
138	299	1856
139	300	1848
140	302	1839
141	303	1830
142	304	1822
143	305	1814
144	306	1806
145	307	1798
146	308	1790
147	309	1782
148	310	1774
149	311	1766
150	312	1758
151	313	1750
152	314	1743
153	315	1735
154	317	1728
155	318	1720
156	319	1713
157	320	1706
158	321	1700
159	322	1695
160	324	1689
161	325	1683
162	326	1677
163	327	1670
164	328	1663
165	329	1657
166	330	1650
167	332	1644
168	333	1638
169	334	1632
170	335	1626
171	336	1619
172	337	1613
